中文名称,中文别称,指标类别,指标层级,一级业务主题,指标编码,指标定义,业务口径,计算公式,关联基础指标或复合指标,维度,基础计量单位,业务主责部门
下单转化率,,复合指标,T2,,BUS1023,统计时间内，下单买家数/访客数，即来访客户转化为下单买家的比例。,统计时间内，下单买家数/访客数，即来访客户转化为下单买家的比例。,下单买家数 / 访客数,,,,
未支付访客,,原子指标,T2,,BUS1024,统计时间段内，来访您店铺内没有产生过支付行为的访客,统计时间段内，来访您店铺内没有产生过支付行为的访客,,,,,
搜索引导支付买家数,,原子指标,T2,,BUS1033,统计时间内，由全网搜索直接引导至商品详情页的支付买家数。,统计时间内，由全网搜索直接引导至商品详情页的支付买家数。,,,,,
当前实际接待客服数量,,原子指标,T2,,BUS1081,业务需求接待客服数量根据当前所选的时间段计算日均客服数量（需当日接待时长大于6小时）,业务需求接待客服数量根据当前所选的时间段计算日均客服数量（需当日接待时长大于6小时）,,,,,客服
加购客单价,,复合指标,T2,,BUS1083,统计时间内，加购金额/加购人数,统计时间内，加购金额/加购人数,加购金额 / 加购人数,,,,
加购客件数,,复合指标,T2,,BUS1084,统计时间内，加购件数/加购人数,统计时间内，加购件数/加购人数,加购件数 / 加购人数,,,,
客服饱和度,,复合指标,T2,,BUS1086,业务需求接待客服数量 / 当前实际接待客服数量*100%，当分母为0，则 显示“-”,业务需求接待客服数量 / 当前实际接待客服数量*100%，当分母为0，则 显示“-”,业务需求接待客服数量 / 当前实际接待客服数量 * 100%,,,,客服
客服次日付款转化率,,复合指标,T2,,BUS1087,所选时间段内，客服当日或次日付款人数占询单人数的比例,所选时间段内，客服当日或次日付款人数占询单人数的比例,,,,,客服
客服接待人数,,原子指标,T2,,BUS1088,所选时间内，某客服接待的客户数,所选时间内，某客服接待的客户数,,,,,客服
客服客件数,,复合指标,T2,,BUS1089,所选时间内，通过客服服务下单付款的顾客，平均每次购买商品的件数，计算逻辑：人工客服销售量/店人工客服销售人数（无时长要求）,所选时间内，通过客服服务下单付款的顾客，平均每次购买商品的件数，计算逻辑：人工客服销售量/店人工客服销售人数（无时长要求）,人工客服销售量/店人工客服销售人数（无时长要求）,,,,客服
客服人均销售额,,复合指标,T2,,BUS1090,赤兔平台获取的通过客服服务成交的客户，在所选时间内付款的金额）/当日服务时长≥6小时的客服数量,赤兔平台获取的通过客服服务成交的客户，在所选时间内付款的金额）/当日服务时长≥6小时的客服数量,,,,,客服
客服销售额,,原子指标,T2,,BUS1091,通过客服服务成交的客户，在所选时间内，买家成功付款的毛销售额（含退款），不含购物金,通过客服服务成交的客户，在所选时间内，买家成功付款的毛销售额（含退款），不含购物金,,,,,客服
商品访客数,,原子指标,T2,,BUS1099,统计时间内，访问宝贝详情页的去重人数，一个人在统计时间范围内访问多次只记为一个。所有终端访客数为PC端访客数和无线端访客数相加去重。,统计时间内，访问宝贝详情页的去重人数，一个人在统计时间范围内访问多次只记为一个。所有终端访客数为PC端访客数和无线端访客数相加去重。,,,,,
搜索引导访客数,,原子指标,T2,,BUS1100,统计时间内，由全网搜索直接引导至商品详情页的访客数,统计时间内，由全网搜索直接引导至商品详情页的访客数,,,,,
业务需求接待客服数量,,原子指标,T2,,BUS1104,业务需求接待客服数量=（（店铺售前接待量*人工客服售前接待占比预估值）+（店铺售后接待量*人工客服售后接待占比预估值））/200,业务需求接待客服数量=（（店铺售前接待量*人工客服售前接待占比预估值）+（店铺售后接待量*人工客服售后接待占比预估值））/200,业务需求接待客服数量=((店铺售前接待量*人工客服售前接待占比预估值)+(店铺售后接待量*人工客服售后接待占比预估值))/200,,,,客服
店铺售前接待量,,原子指标,T2,,BUS1109,当统计时间≤30天，则：店铺售前接待量=统计时间段内的店铺UV*同期近30天售前calling参考值；当统计时间＞30天，则：店铺售前接待量=统计时间段内的店铺UV*同期时间段售前calling参考值（售前calling值=询单/UV ）,当统计时间≤30天，则：店铺售前接待量=统计时间段内的店铺UV*同期近30天售前calling参考值；当统计时间＞30天，则：店铺售前接待量=统计时间段内的店铺UV*同期时间段售前calling参考值（售前calling值=询单/UV ）,当统计时间≤30天，则：店铺售前接待量=统计时间段内的店铺UV*同期近30天售前calling参考值；当统计时间＞30天，则：店铺售前接待量=统计时间段内的店铺UV*同期时间段售前calling参考值(售前calling值=询单/UV ),,,,客服
访问次数（次）,,原子指标,T2,,BUS1113,从访客登录系统到打开一个界面，计为1次访问。若访客连续30分钟没有新开和刷新页面，或者访客关闭了浏览器，则被计算为本次访问结束,从访客登录系统到打开一个界面，计为1次访问。若访客连续30分钟没有新开和刷新页面，或者访客关闭了浏览器，则被计算为本次访问结束,,,,,创新产品组
服务时长,,原子指标,T2,,BUS1114,所选时间内，本客服旺旺非挂起状态在线总时长(仅包含PC端值班数据)，计算逻辑：在线总时长-挂起总时长(分钟),所选时间内，本客服旺旺非挂起状态在线总时长(仅包含PC端值班数据)，计算逻辑：在线总时长-挂起总时长(分钟),,,,,客服
活跃会员,,原子指标,T2,,BUS1126,近30天内，消费者具有会员身份且在绑定店铺中有过以下任意一种行为即视为是品牌的活跃会员。 「浏览店铺自播、浏览短视频、领取会员权益、进店、或浏览、收藏、加购、预购或购买,近30天内，消费者具有会员身份且在绑定店铺中有过以下任意一种行为即视为是品牌的活跃会员。 「浏览店铺自播、浏览短视频、领取会员权益、进店、或浏览、收藏、加购、预购或购买,,,,,消费者
加购次数,,原子指标,T2,,BUS1127,统计时间内，该行业下商品加购次数,统计时间内，该行业下商品加购次数,,,"类目,平台,时间周期（日,周,月）",,数据部
加购件单价,,复合指标,T2,,BUS1128,统计时间内，加购金额/加购件数,统计时间内，加购金额/加购件数,加购金额 / 加购件数,,,,
加购件数,,原子指标,T2,,BUS1129,统计时间内，买家加入购物车商品件数之和,统计时间内，买家加入购物车商品件数之和,,,,,
加购金额,,原子指标,T2,,BUS1130,统计时间内，买家加入购物车商品金额之和,统计时间内，买家加入购物车商品金额之和,,,,,
加购率,,复合指标,T2,,BUS1131,统计时间内，加购人数/访客数,,加购人数/访客数,,,,
加购率（件）,,复合指标,T2,,BUS1132,统计时间内，加购件数/访客数,,加购件数 / 访客数,,,,
加购人数,,原子指标,T2,,BUS1133,统计时间内，该行业下商品按选择时间的最小单位去重加购人数,统计时间内，该行业下商品按选择时间的最小单位去重加购人数,,,"类目,平台,时间周期（日,周,月）",,数据部
接待人数,,原子指标,T2,,BUS1135,所选时间内，某客服接待的客户数,所选时间内，某客服接待的客户数,,,,,服务
卡片点击率,,复合指标,T2,,BUS1138,卡片点击次数/卡片曝光次数，当前月份按每日数据取平均值。,卡片点击次数/卡片曝光次数，当前月份按每日数据取平均值。,卡片点击次数 / 卡片曝光次数,,,,
浏览量,,原子指标,T2,,BUS1140,统计时间内，该行业下商品的商品详情页访问次数,统计时间内，该行业下商品的商品详情页访问次数,,,"类目,平台,时间周期（日,周,月）",,数据部
全店跳失率,,复合指标,T2,,BUS1143,访客中没有发生点击行为的人数/访客数，即1-点击人数/访客数。多天的跳失率为各天跳失率的日均值,访客中没有发生点击行为的人数/访客数，即1-点击人数/访客数。多天的跳失率为各天跳失率的日均值,,,,,
人均观看时长/秒,,复合指标,T2,,BUS1144,当前月份按每日数据取平均值，由于无法对播放人数去重，因此会比实际偏小。,当前月份按每日数据取平均值，由于无法对播放人数去重，因此会比实际偏小。,,,,,
商品详情页跳失率,,复合指标,T2,,BUS1145,统计日期内，商品详情页跳出访客数/商品访客数,统计日期内，商品详情页跳出访客数/商品访客数,,,,,
收藏次数,,原子指标,T2,,BUS1149,统计时间内，该行业下商品收藏次数,统计时间内，该行业下商品收藏次数,,,"类目,平台,时间周期（日,周,月）",,数据部
收藏人数,,原子指标,T2,,BUS1150,统计时间内，该行业下商品按选择时间的最小单位去重收藏人数,统计时间内，该行业下商品按选择时间的最小单位去重收藏人数,,,"类目,平台,时间周期（日,周,月）",,数据部
手淘点击率,,复合指标,T2,,BUS1151,进店次数/商品曝光次数,进店次数/商品曝光次数,进店次数/商品曝光次数,,,,
首页点击率,,复合指标,T2,,BUS1152,统计周期内首页的点击人数/访客数,统计周期内首页的点击人数/访客数,,,,,
售后接待量,,原子指标,T2,,BUS1153,所选时间内，人工客服接待的售后咨询客户数,所选时间内，人工客服接待的售后咨询客户数,,,,,客服
售后人数,,原子指标,T2,,BUS1154,所选时间内，某客服接待的售后咨询客户数,所选时间内，某客服接待的售后咨询客户数,,,,,服务
搜索热度,,原子指标,T2,,BUS1155,统计时间内，通过搜索引导至该行业下商品详情页的访问次数进行指数化后的指数类指标。搜索热度越高，代表由搜索引导至该行业下商品的访问次数越高。指数之间差值不代表实际指标差值，仅代表高低。,统计时间内，通过搜索引导至该行业下商品详情页的访问次数进行指数化后的指数类指标。搜索热度越高，代表由搜索引导至该行业下商品的访问次数越高。指数之间差值不代表实际指标差值，仅代表高低。,,,"类目,平台,时间周期（日,周,月）",,数据部
搜索人气,,原子指标,T2,,BUS1156,统计时间内，通过搜索引导至该行业下商品详情页的去重访客数进行指数化后的指数类指标。搜索人气越高，代表由搜索引导至该行业下商品的访客数越高。指数之间差值不代表实际指标差值，仅代表高低,统计时间内，通过搜索引导至该行业下商品详情页的去重访客数进行指数化后的指数类指标。搜索人气越高，代表由搜索引导至该行业下商品的访客数越高。指数之间差值不代表实际指标差值，仅代表高低,,,"类目,平台,时间周期（日,周,月）",,数据部
跳失率,,复合指标,T2,,BUS1157,统计时间内，在所选的终端（PC或无线）上，通过搜索某个关键词后，统计时间内，访客中没有发生点击行为的人数/访客数，即1-点击人数/访客数。该值越低表示流量的质量越好。多天的跳失率为各天跳失率的日均值。,统计时间内，在所选的终端（PC或无线）上，通过搜索某个关键词后，统计时间内，访客中没有发生点击行为的人数/访客数，即1-点击人数/访客数。该值越低表示流量的质量越好。多天的跳失率为各天跳失率的日均值。,,,,,
推荐金额,,原子指标,T2,,BUS1158,所选时间内，客户在对应团队客服推荐所选商品后，当日下单并付款购买该商品的商品金额,所选时间内，客户在对应团队客服推荐所选商品后，当日下单并付款购买该商品的商品金额,,,,,客服
响应时长,,原子指标,T2,,BUS1159,某客服对客户回复用时的时长,某客服对客户回复用时的时长,,,,,客服
询单人数,,原子指标,T2,,BUS1163,所选时间内，某客服接待的询单客户数（下单前来咨询的客户），该指标按T+2更新,所选时间内，某客服接待的询单客户数（下单前来咨询的客户），该指标按T+2更新,,,,,服务
短视频引流人次,,原子指标,T2,,BUS1169,统计范围内，点击短视频头像呼吸灯后进入直播间的自然流量,统计范围内，点击短视频头像呼吸灯后进入直播间的自然流量,,,,,
短视频引流占比,,复合指标,T2,,BUS1170,统计范围内，短视频在直播期间给直播间引入的观看人次与直播间实际观看人次的占比,统计范围内，短视频在直播期间给直播间引入的观看人次与直播间实际观看人次的占比,,,,,
完播率,,复合指标,T2,,BUS1171,完整播放次数/播放次数。,完整播放次数/播放次数。,完整播放次数/播放次数,,,,
有效播放率,,复合指标,T2,,BUS1172,有效播放次数/播放次数。,有效播放次数/播放次数。,有效播放次数/播放次数。,,,,
直播观看人次,,原子指标,T2,,BUS1173,统计范围内，在直播间实际的观看人次,统计范围内，在直播间实际的观看人次,,,,,
直播期间曝光人次,,原子指标,T2,,BUS1174,统计范围内，直播期间短视频累计曝光的人次,统计范围内，直播期间短视频累计曝光的人次,,,,,
直播入口点击率,,复合指标,T2,,BUS1175,统计范围内，直播入口点击人次/直播期间曝光人次*100%,统计范围内，直播入口点击人次/直播期间曝光人次*100%,直播入口点击人次/直播期间曝光人次*100%,,,,
直播入口点击人次,,原子指标,T2,,BUS1176,统计范围内，点击短视频头像呼吸灯后进入直播间的所有流量（包括自然流量和付费流量）,统计范围内，点击短视频头像呼吸灯后进入直播间的所有流量（包括自然流量和付费流量）,,,,,
站内推广,,原子指标,T2,,BUS1177,在各个平台投入的推广费用：如直通车，钻展，万相台等,在各个平台投入的推广费用：如直通车，钻展，万相台等,,,"品牌,线上,渠道,店铺,时间周期（月）",,财经策略部
站内推广（充值）,,原子指标,T2,,BUS1178,"淘系：直通车、钻展、品销宝、超级推荐等；
直播：直播投流费用等，渠道推广费用",,,,"品牌,渠道,店铺,时间周期（月）",,财经策略部
UV价值,,复合指标,T2,,BUS1179,统计时间内，支付金额/访客数,统计时间内，支付金额/访客数,支付金额/访客数,,,,
UV指数,,复合指标,T2,,BUS1180,统计时间内，对应品类按天去重UV累计值的指数化指标,统计时间内，对应品类按天去重UV累计值的指数化指标,,,,,
加购UV价值,,复合指标,T2,,BUS1181,统计时间内，加购金额/访客数,统计时间内，加购金额/访客数,加购金额/访客数,,,,
人力,,原子指标,T2,,BUS1230,所选时间内，每天在班时长8小时总共需要的人力数量，计算逻辑：在线服务时长/所选时间段内的天数/8小时,所选时间内，每天在班时长8小时总共需要的人力数量，计算逻辑：在线服务时长/所选时间段内的天数/8小时,计算逻辑：在线服务时长/所选时间段内的天数/8小时,,,,客服
认知,,原子指标,T2,,BUS1231,消费者相对被动与品牌接触；15天内有过点击、浏览或观看的人群,消费者相对被动与品牌接触；15天内有过点击、浏览或观看的人群,,,,,消费者
兴趣,,原子指标,T2,,BUS1232,消费者主动与品牌发生接触；包括未购买的会员和粉丝、15天内有过互动或15天内浏览过大于等于2次品牌商品或15天内有过收藏及领用试用装的人群,消费者主动与品牌发生接触；包括未购买的会员和粉丝、15天内有过互动或15天内浏览过大于等于2次品牌商品或15天内有过收藏及领用试用装的人群,,,,,消费者
达人佣金,,原子指标,T2,,FIN1004,达人直播产生的佣金费用,达人直播产生的佣金费用,,,"品牌,线上,渠道,店铺,时间周期（月）",,财经策略部
平台促销推广,,原子指标,T2,,FIN1007,除聚划算、站内推广外给到平台的促销推广费,除聚划算、站内推广外给到平台的促销推广费,,,"品牌,渠道,店铺,时间周期（月）",,财经策略部
淘宝客佣金,,原子指标,T2,,FIN1009,淘系平台由淘宝客引导成交产生的费用,淘系平台由淘宝客引导成交产生的费用,,,"品牌,线上,渠道,店铺,时间周期（月）",,财经策略部
客服人工成本,,原子指标,T2,,FIN1014,公司内部及派遣客服人员成本人工：（自有+外包）含工资、社保、公积金、福利费,公司内部及派遣客服人员成本人工：（自有+外包）含工资、社保、公积金、福利费,,,"品牌,线上,渠道,店铺,时间周期（月）",,财经策略部
人工成本,,原子指标,T2,,FIN1016,除客服外，线上所有岗位自有+外包人工成本（人工成本含：工资、社保、公积金、福利费（注意部门人员编制，调薪幅度，年终奖+效益奖金+双11奖金，职工教育经费））,除客服外，线上所有岗位自有+外包人工成本（人工成本含：工资、社保、公积金、福利费（注意部门人员编制，调薪幅度，年终奖+效益奖金+双11奖金，职工教育经费））,,,"品牌,线下,渠道,店铺,时间周期（月）",,财经策略部
达人坑位费,,原子指标,T2,,FIN1018,达人直播产生的坑位费费用,达人直播产生的坑位费费用,,,"品牌,线上,渠道,店铺,时间周期（月）",,财经策略部
客服费用,,原子指标,T2,,FIN1019,客服人工成本及相关费用：人工（自有+外包）含工资、社保、公积金、福利费；其他费用，如森小蜜机器人等,客服人工成本及相关费用：人工（自有+外包）含工资、社保、公积金、福利费；其他费用，如森小蜜机器人等,,,"品牌,线上,渠道,店铺,时间周期（月）",,财经策略部
客服外包费用,,原子指标,T2,,FIN1020,由公司外部外包团队承接客服服务产生的费用，主要为外包客服费用,由公司外部外包团队承接客服服务产生的费用，主要为外包客服费用,,,"品牌,线上,渠道,店铺,时间周期（月）",,财经策略部
其他宣传费用,,原子指标,T2,,FIN1025,除上述费用外的其他推广方式产生的费用：如短信费、购买宣传物料等,除上述费用外的其他推广方式产生的费用：如短信费、购买宣传物料等,,,"品牌,线上,渠道,店铺,时间周期（月）",,财经策略部
淘客及直播,,原子指标,T2,,FIN1028,淘客及直播=淘宝客佣金+直播佣金+直播坑位费+达人佣金+达人坑位费,淘客及直播=淘宝客佣金+直播佣金+直播坑位费+达人佣金+达人坑位费,淘客及直播=淘宝客佣金+直播佣金+直播坑位费+达人佣金+达人坑位费,,"品牌,线上,渠道,店铺,时间周期（月）",,财经策略部
运营费用,,复合指标,T2,,FIN1033,运营费用=站内推广+聚划算+营销策划+其他宣传费用+平台扣点+淘客及直播+其他服务费用+客服费用+物流费用+其他运营费用+门店补贴+门店人工成本+门店运营费用+线下物流费+线下宣传费用+线下运营费用,运营费用=站内推广+聚划算+营销策划+其他宣传费用+平台扣点+淘客及直播+其他服务费用+客服费用+物流费用+其他运营费用+门店补贴+门店人工成本+门店运营费用+线下物流费+线下宣传费用+线下运营费用,运营费用=站内推广+聚划算+营销策划+其他宣传费用+平台扣点+淘客及直播+其他服务费用+客服费用+物流费用+其他运营费用+门店补贴+门店人工成本+门店运营费用+线下物流费+线下宣传费用+线下运营费用,,"品牌,全渠道,店铺,时间周期（月）",,财经策略部
直播坑位费,,原子指标,T2,,FIN1034,除达人外其他直播产生的坑位费费用,除达人外其他直播产生的坑位费费用,,,"品牌,线上,渠道,店铺,时间周期（月）",,财经策略部
直播佣金,,原子指标,T2,,FIN1035,除达人外其他直播产生的佣金费用,除达人外其他直播产生的佣金费用,,,"品牌,线上,渠道,店铺,时间周期（月）",,财经策略部
加盟_财务毛利额,,派生指标,T2,,FIN1044,"净配发金额 + 其他业务收入 - 期后退货收入 - 促销返利 - 服务返利 - 渠道返利 - 其他返利 - (净配发成本 + 其他业务成本 - 期后退货成本)
(※ 注：“加盟”包括渠道分析名称：加盟、联营)",,净配发金额 + 其他业务收入 - 期后退货收入 - 促销返利 - 服务返利 - 渠道返利 - 其他返利 - (净配发成本 + 其他业务成本 - 期后退货成本)、(※ 注：“加盟”包括渠道分析名称：加盟、联营),,0,元,统筹运营中心>经营分析部
本月预估缺口,,复合指标,T2,,BUS1238,所选核心指标，统计结束时间的（月总目标-本月预估值）,所选核心指标，统计结束时间的（月总目标-本月预估值）,,,"店铺,时间周期（日）",,数据部
本月预估值,,复合指标,T2,,BUS1239,"当前月：所选核心指标，统计结束时间的1日至昨日的累计达成率*月总目标
非当前月：所选核心指标，统计结束时间的1日至该月末实际达成","当前月：所选核心指标，统计结束时间的1日至昨日的累计达成率*月总目标
非当前月：所选核心指标，统计结束时间的1日至该月末实际达成",,,"店铺,时间周期（日）",,数据部
GMV预估值,,原子指标,T2,,BUS1240,GMV预估值说明,GMV预估值说明,,,,,
GTA模型_GMV预估值,,原子指标,T2,,BUS1241,"通过活动前AIPL人群及活动新增AI人群量级及转化预估活动GMV。
参考时间为AIPL量级的对比节点，参考活动影响新增AI成本。",,,,,,
GTA模型_活动前人群GMV预估值,,原子指标,T2,,BUS1242,主要受参考时间点影响，目前参考时间只能选取每月最后一天。,,,,,,
GTA模型_活动新增人群GMV预估,,原子指标,T2,,BUS1243,参考活动影响新增AI成本，【推广渠道及预算配置】影响各推广渠道新增AI量级,,,,,,
大促增长模型_GMV预估值,,原子指标,T2,,BUS1244,通过大促的爆发系数对GMV进行预估，参考时间主要影响对比日销的GMV。,,,,,,
大促增长模型_参考时间段GMV,,原子指标,T2,,BUS1245,选定合理的参考时间范围作为日销GMV基数,,,,,,
大促增长模型_参考时间段GMV值,,复合指标,T2,,BUS1246,选定参考时间对应的GMV,,,,,,
大促增长模型_活动爆发系数,,复合指标,T2,,BUS1247,参考一年前和两年前该活动的爆发系数进行预估,,,,,,
老客复购模型_GMV预估值,,原子指标,T2,,BUS1248,"通过对一年内老客R分类的人群数量、客单和召回率的预估，预估店铺GMV；
参考时间主要影响R分类",,,,,,
老客复购模型_一年内老客预估GMV,,原子指标,T2,,BUS1250,截至活动前一天的一年内购买过的用户在本次大促购买的GMV预估值,,,,,,
年增长模型_店铺核心类目GMV预估,,原子指标,T2,,BUS1255,店铺核心类目根据【店铺核心类目配置】结果判断,,,,,,
年增长模型_店铺核心类目GMV占比,,复合指标,T2,,BUS1256,【店铺核心类目配置】后的核心类目占店铺总GMV的比例预估值,,,,,,
新老客贡献模型_GMV预估值,,原子指标,T2,,BUS1257,"通过新老客GMV预估整店GMV。
参考时间主要影响新老客GMV增长倍数。",,,,,,
大促目标,,原子指标,T2,,BUS1268,店铺大促负责人手动设定,店铺大促负责人手动设定,,,,,
较去年同比,,复合指标,T2,,BUS1274,较去年同比 = （设定大促目标/去年同期大促的实际销额-1）*100%,较去年同比 = （设定大促目标/去年同期大促的实际销额-1）*100%,(设定大促目标/去年同期大促的实际销额-1)*100%,,,,
聚划算,,原子指标,T2,,BUS1285,聚划算及品牌团,聚划算及品牌团,,,"品牌,线上,渠道,店铺,时间周期（月）",,财经策略部
品类贡献度,,复合指标,T2,,BUS1287,自店占比*同比偏差*100,自店占比*同比偏差*100,自店占比*同比偏差*100,,"店铺,品类,时间周期（日,月）",,数据部
营销策划,,原子指标,T2,,BUS1288,品牌宣传，平台营销活动资源，发布会，明星拍摄、IP合作等,品牌宣传，平台营销活动资源，发布会，明星拍摄、IP合作等,,,"品牌,线上,渠道,店铺,时间周期（月）",,财经策略部
预测范围,,原子指标,T2,,BUS1289,模型预测最小值 ~ 模型预测最大值,模型预测最小值 ~ 模型预测最大值,,,,,
预测偏离度,,复合指标,T2,,BUS1290,"预测偏离度 = |模型预测销额（取各模型预测的销额中最临近大促目标的值,下同）-大促目标|/模型预测销额*100%）","预测偏离度 = |模型预测销额（取各模型预测的销额中最临近大促目标的值,下同）-大促目标|/模型预测销额*100%）","预测偏离度 = |模型预测销额(取各模型预测的销额中最临近大促目标的值,下同)-大促目标|/模型预测销额*100%)",,,,
卡片点击次数,,,T2,,16402,,,,,,,
卡片曝光次数,,,T2,,16403,,,,,,,
服务质量_扣分,,,T2,,16409,,,,,,,
子公司初评冠军_神秘访客_评分,,,T2,,16411,,,,,,,
子公司初评_除冠军外其余门店随机抽查_神秘访客_评分,,,T2,,16412,,,,,,,
uv加购率,,派生指标,,,ZB00117,,统计时间内，加购人数/访客数,,,,,
uv加购率（件）,,派生指标,,,ZB00118,,统计时间内，加购件数/访客数,,,,,
大促增长模型-GMV预估值,,原子指标,,,ZB00350,通过大促的爆发系数对GMV进行预估，参考时间主要影响对比日销的GMV。,通过大促的爆发系数对GMV进行预估，参考时间主要影响对比日销的GMV。,,,,,
大促增长模型-活动爆发系数,,派生指标,,,ZB00351,参考一年前和两年前该活动的爆发系数进行预估,参考一年前和两年前该活动的爆发系数进行预估,,,,,
大促增长模型-参考时间段GMV,,派生指标,,,ZB00352,选定合理的参考时间范围作为日销GMV基数,选定合理的参考时间范围作为日销GMV基数,,,,,
年增长模型-店铺核心类目GMV预估,,派生指标,,,ZB00354,店铺核心类目根据【店铺核心类目配置】结果判断,店铺核心类目根据【店铺核心类目配置】结果判断,,,,,
老客复购模型-GMV预估值,,派生指标,,,ZB00355,"通过对一年内老客R分类的人群数量、客单和召回率的预估，预估店铺GMV；
参考时间主要影响R分类","通过对一年内老客R分类的人群数量、客单和召回率的预估，预估店铺GMV；
参考时间主要影响R分类",,,,,
老客复购模型-一年内老客预估GMV,,派生指标,,,ZB00356,截至活动前一天的一年内购买过的用户在本次大促购买的GMV预估值,截至活动前一天的一年内购买过的用户在本次大促购买的GMV预估值,,,,,
大促增长模型-参考时间段GMV值,,原子指标,,,ZB00357,选定参考时间对应的GMV,选定参考时间对应的GMV,,,,,
年增长模型-店铺核心类目GMV占比,,原子指标,,,ZB00358,【店铺核心类目配置】后的核心类目占店铺总GMV的比例预估值,【店铺核心类目配置】后的核心类目占店铺总GMV的比例预估值,,,,,
GTA模型-GMV预估值,,派生指标,,,ZB00363,"通过活动前AIPL人群及活动新增AI人群量级及转化预估活动GMV。
参考时间为AIPL量级的对比节点，参考活动影响新增AI成本。","通过活动前AIPL人群及活动新增AI人群量级及转化预估活动GMV。
参考时间为AIPL量级的对比节点，参考活动影响新增AI成本。",,,,,
GTA模型-活动前人群GMV预估值,,派生指标,,,ZB00364,主要受参考时间点影响，目前参考时间只能选取每月最后一天。,主要受参考时间点影响，目前参考时间只能选取每月最后一天。,,,,,
GTA模型-活动新增人群GMV预估,,派生指标,,,ZB00365,参考活动影响新增AI成本，【推广渠道及预算配置】影响各推广渠道新增AI量级,参考活动影响新增AI成本，【推广渠道及预算配置】影响各推广渠道新增AI量级,,,,,
新老客贡献模型-GMV预估值,,派生指标,,,ZB00366,"通过新老客GMV预估整店GMV。
参考时间主要影响新老客GMV增长倍数。","通过新老客GMV预估整店GMV。
参考时间主要影响新老客GMV增长倍数。",,,,,
站内推广(充值）,,原子指标,,,ZB00371,"淘系：直通车、钻展、品销宝、超级推荐等；
直播：直播投流费用等，渠道推广费用","淘系：直通车、钻展、品销宝、超级推荐等；
直播：直播投流费用等，渠道推广费用",,,,,
广告宣传费,,派生指标,,,ZB00552,,营业收入 * 广告宣传费_费率,,,,,
广告宣传费_费率,,派生指标,,,ZB00556,,广告宣传费 / 营业收入 * 100%,,,,,
促销返利,,原子指标,,,ZB00558,,,,,,,
服务返利,,原子指标,,,ZB00559,,,,,,,
渠道支持,,原子指标,,,ZB00560,,,,,,,
